content,video_title,video_publish_time,clicks_per_end_screen_element_shown_(%),end_screen_elements_shown,end_screen_element_clicks,views_per_playlist_start,views_from_playlist,comments_added,shares,dislikes,likes,subscribers_lost,subscribers_gained,average_views_per_viewer,unique_viewers,returning_viewers,new_viewers,average_percentage_viewed_(%),average_view_duration,views,watch_time_(hours),subscribers,estimated_revenue_(usd),impressions,impressions_click-through_rate_(%)
qA4kDPUOlQ9,Artist7 - Song107,2023-11-27,0.84,11746,99,7.2273,159.0,2,38,0,276,0,26,1.6614,13610,8555.0,4921.0,46.0,0:01:20,22612,505.7018,26,26.223,138300,10.33
Emt7RSB2vWm,Artist7 - Song108,2023-11-21,0.79,1778,14,12.3636,136.0,1,4,0,33,0,3,2.0325,1293,1180.0,103.0,55.75,0:01:29,2628,65.1142,3,3.572,19753,7.85
vwqnGG8bayl,Artist17 - Song109,2023-12-19,6.06,660,40,3.5625,228.0,0,4,0,28,1,4,1.5332,1176,897.0,268.0,35.89,0:01:06,1803,33.0716,3,2.418,21465,4.98
sFPn7hQA5sT,Artist37 - Song110,2023-12-26,1.01,1381,14,18.0,252.0,1,4,0,39,3,5,1.6964,1726,1131.0,581.0,41.67,0:01:06,2928,53.8889,2,4.036,46066,4.23
HMQth4sCaXm,Artist65 - Song111,2024-01-03,0.93,428,4,10.0417,241.0,1,9,0,42,1,3,1.4825,1084,802.0,272.0,31.39,0:01:01,1607,27.3401,2,1.054,21552,4.94
PLac5JhGi7K,Artist66 - Song112,2023-12-03,0.46,380475,1746,4.8485,160.0,30,592,129,5820,27,422,2.4242,264305,129745.0,129947.0,48.51,0:00:52,640715,9323.787,395,240.971,5130000,8.82
ArosM5GNZN0,Artist34 - Song113,2024-01-14,1.9,1104,21,9.9375,159.0,1,9,1,43,0,4,1.656,1695,1360.0,325.0,42.99,0:00:45,2807,35.19,4,1.998,29102,6.77
ma6oUTWZiB2,Artist67 - Song114,2023-11-06,8.27,4134,342,,,0,2,1,67,1,20,1.5211,3481,3309.0,121.0,56.73,0:00:53,5295,78.4375,19,4.883,13999,9.47
hkc5M38Wwhm,Artist24 - Song115,2024-02-14,5.79,587,34,10.75,43.0,2,4,0,31,0,2,1.3406,1192,1040.0,79.0,37.47,0:00:55,1598,24.7797,2,1.543,11950,7.41
lPwgGD5hqxU,Artist1 - Song1,2024-02-10,2.23,1523,34,7.7273,85.0,2,3,0,60,1,7,1.4612,2424,1966.0,383.0,39.95,0:01:04,3542,63.2773,6,3.129,35463,6.78
9n180VkvBM4,Artist53 - Song78,2024-02-19,9.06,265,24,1.2571,44.0,2,2,0,24,0,3,1.2011,706,434.0,125.0,33.49,0:01:00,848,14.2,3,0.957,8191,6.96
NJG5cqAEZ2o,Artist9 - Song116,2024-01-19,0.57,7740,44,10.4167,125.0,2,37,4,227,3,12,1.4113,13171,9576.0,3248.0,45.92,0:01:22,18588,423.8741,9,13.849,135769,6.47
5PnPqH32EsB,Artist24 - Song117,2024-01-20,0.91,4611,42,16.5,198.0,2,17,4,157,4,15,1.527,6698,5345.0,1232.0,44.83,0:01:35,10228,271.2871,11,8.379,67790,8.03
QzOYhGiDb9q,Artist3 - Song118,2023-12-22,1.01,5273,53,8.2917,199.0,3,16,0,144,1,3,1.598,6641,5504.0,1015.0,43.95,0:00:57,10612,168.4176,2,6.506,81330,8.4
TQGrnkluuU9,Artist68 - Song119,2024-01-18,1.43,3639,52,12.2727,135.0,4,23,1,124,1,18,1.6483,4819,3102.0,1540.0,58.64,0:01:03,7943,139.7361,17,14.921,68945,7.22
MdQctVrgj5V,Artist27 - Song120,2024-02-11,1.62,3153,51,6.7143,94.0,3,19,1,93,2,11,1.3729,4685,3431.0,231.0,45.98,0:01:30,6432,161.826,9,3.747,43817,8.03
6f8wuuCtNv2,Artist69 - Song121,2023-12-20,1.52,857,13,7.55,151.0,1,9,1,27,0,2,1.6098,1084,664.0,412.0,46.51,0:01:13,1745,35.3966,2,2.537,22847,5.08
EZk7p1M9Vts,Artist70 - Song122,2023-11-26,3.25,1938,63,13.0,117.0,3,12,0,58,1,5,1.6718,1898,1418.0,456.0,45.64,0:01:09,3173,61.1464,4,3.624,29283,6.1
V0bRuckBgn4,Artist24 - Song123,2024-02-01,4.54,639,29,11.0909,122.0,4,1,1,49,0,6,1.5272,1436,1363.0,51.0,36.76,0:01:22,2193,50.3703,6,2.045,18010,8.16
XB75V4YPgYg,Artist9 - Song124,2024-02-17,1.82,1376,25,4.0,36.0,5,10,1,55,0,4,1.2948,2398,1282.0,688.0,51.57,0:01:18,3105,68.0535,4,1.935,34897,5.3
34dyHRd7Ger,Artist5 - Song125,2023-11-22,0.88,2390,21,20.0,100.0,0,20,1,28,0,3,2.1522,1439,1092.0,338.0,58.59,0:01:47,3097,92.2395,3,5.66,22199,7.98
eKDLKxX0sH3,Artist56 - Song126,2023-12-28,2.14,1964,42,6.4643,181.0,1,7,1,81,1,13,1.5338,2694,2248.0,428.0,48.92,0:00:55,4132,64.0155,12,1.962,37647,7.68
8xV3wecWFJD,Artist71 - Song127,2023-11-23,0.55,11845,65,5.64,141.0,7,22,3,344,5,26,2.0257,14519,8041.0,6202.0,51.32,0:01:48,29411,888.8067,21,43.466,191710,7.39
S225sfFws8p,Artist26 - Song128,2023-11-20,0.71,2263,16,10.5,105.0,1,8,0,54,1,3,1.8161,2409,1577.0,814.0,52.87,0:01:37,4375,118.8652,2,7.008,26480,7.8
N8440CK4xT0,Artist9 - Song116,2023-11-03,0.68,45967,312,16.1667,97.0,1,262,13,761,9,90,1.9665,35839,27701.0,7816.0,60.98,0:01:40,70479,1969.8276,81,65.609,393380,9.09
NP8asCJLAOf,Artist7 - Song129,2024-01-30,1.03,7653,79,8.125,130.0,1,8,7,361,3,17,1.4378,15168,13091.0,1504.0,37.92,0:01:06,21809,404.3199,14,15.617,130897,8.08
o4AL9C14Ird,Artist13 - Song130,2023-11-04,3.84,3930,151,11.1111,100.0,6,7,3,164,1,10,1.607,7592,6756.0,654.0,37.78,0:01:12,12200,247.1152,9,9.805,58263,10.35
V5rsedZCBH5,Artist7 - Song131,2023-12-05,3.12,5537,173,15.25,427.0,1,17,0,179,0,7,1.6332,7540,5934.0,1571.0,40.49,0:01:11,12314,243.728,7,10.585,86581,7.7
